,,ASDrf_nEngFltGripNeg_Y_AXIS,,,
,,ASDrf_FltGripNeg.T1_GMAP,,,
,,ASDrf_FltGripPos.Kd_GMAP,,,
,,ASDrf_nEngFltGripPos_Y_AXIS,,,
,,ASDrf_FltGripPos.T1_GMAP,,,
,,ASDrf_FltSt0Neg.Kd_C,,,
,,ASDrf_FltSt0Neg.T1_C,,,
,,ASDrf_FltSt0Pos.Kd_C,,,
,,ASDrf_FltSt0Pos.T1_C,,,
,,ASDrf_FltSt3Neg.Kd_GMAP,,,
,,ASDrf_nEngFltSt3Neg_Y_AXIS,,,
,,ASDrf_FltSt3Neg.T1_GMAP,,,
,,ASDrf_FltSt3Pos.Kd_GMAP,,,
,,ASDrf_nEngFltSt3Pos_Y_AXIS,,,
,,ASDrf_FltSt3Pos.T1_GMAP,,,
,,ASDrf_FltSt4Neg.Kd_C,,,
,,ASDrf_FltSt4Neg.T1_C,,,
,,ASDrf_FltSt4Pos.Kd_C,,,
,,ASDrf_FltSt4Pos.T1_C,,,
,,ASDrf_FltWESDemNeg.Kd1_C,,,
,,ASDrf_FltWESDemNeg.Kd2_C,,,
,,ASDrf_FltWESDemNeg.Kd3_C,,,
,,ASDrf_FltWESDemNeg.T11_C,,,
,,ASDrf_FltWESDemNeg.T12_C,,,
,,ASDrf_FltWESDemNeg.T13_C,,,
,,ASDrf_FltWESDemPos.Kd1_C,,,
,,ASDrf_FltWESDemPos.Kd2_C,,,
,,ASDrf_FltWESDemPos.Kd3_C,,,
,,ASDrf_FltWESDemPos.T11_C,,,
,,ASDrf_FltWESDemPos.T12_C,,,
,,ASDrf_FltWESDemPos.T13_C,,,
,,ASDrf_numDflSt_C,,,
,,ASDrf_numPrio_CA,,,
,,ASDrf_rGripThres1_C,,,
,,ASDrf_rGripThres2_C,,,
,,ASDrf_rGripThres3_C,,,
,,ASDrf_rGripThres4_C,,,
,,ASDrf_stCfgConExtIntv_C,,,
,,ASDrf_stEntcClth_C,,,
,,ASDrf_stEntcGrip_C,,,
,,ASDrf_stEntcSt0_C,,,
,,ASDrf_stEntcSt3_C,,,
,,ASDrf_stEntcSt4_C,,,
,,ASDrf_stEntcSt5_C,,,
,,ASDrf_stExClth_C,,,
,,ASDrf_stExGrip_C,,,
,,ASDrf_stExSt0_C,,,
,,ASDrf_stExSt3_C,,,
,,ASDrf_stExSt4_C,,,
,,ASDrf_stExSt5_C,,,
,,ASDrf_stExtIntv_C,,,
,,ASDrf_stGrip1_C,,,
,,ASDrf_stGrip2_C,,,
,,ASDrf_stGrip3_C,,,
,,ASDrf_stGrip4_C,,,
,,ASDrf_stTrqInit_C,,,
,,ASDrf_stWESDem_C,,,
,,ASDrf_swtDeComp_C,,,
,,ASDrf_swtLim_C,,,
,,ASDrf_swtOpr_C,,,
,,ASDrf_swtSpdGovCor_C,,,
,,ASDrf_trqSteepNeg_C,,,
,,ASDrf_trqSteepPos_C,,,
,,ASDrf_trqThresNeg_C,,,
,,ASDrf_trqThresPos_C,,,
,,ASMod_dmAFSVldMax_C,,,
,,ASMod_dmAFSVldMin_C,,,
,,ASMod_etaEGRClg_MAP,,,
,,ASMod_facIntMnfDsEGRTempCor_C,,,
,,ASMod_facIntMnfDsTempCor_C,,,
,,ASMod_facPresLosCmprDs_C,,,
,,ASMod_facPresLsCmprUs_C,,,
,,ASMod_facPresTotCorDs_C,,,
,,ASMod_facPresTotCorUs_C,,,
,,ASMod_facVolEffBas_MAP,,,
,,ASMod_nrTEngMonVolEff_C,,,
,,ASMod_nThresDwn_C,,,
,,ASMod_nThresUp_C,,,
,,ASMod_numAirTempIntMnfLPUs_C,,,
,,ASMod_numBnk_C,,,
,,ASMod_numTempEGRClg_C,,,
,,ASMod_pInit_C,,,
,,ASMod_pOutlVlvDsSimpleMdl_M,,,
,,ASMod_PresIndVolRmp.dpNeg_C,,,
,,ASMod_PresIndVolRmp.dpPos_C,,,
,,ASMod_qSetUnBalMax_C,,,
,,ASMod_qSetUnBalMin_C,,,
,,ASMod_rEGRDfl_C,,,
,,ASMod_rEGRLin_CUR,,,
,,ASMod_rEGRMax_C,,,
,,ASMod_rEGRMin_C,,,
,,ASMod_rEGRVlvClsdMax_C,,,
,,ASMod_rEGRVlvClsdMin_C,,,
,,ASMod_rEGRVlvMax_C,,,
,,ASMod_rEGRVlvMin_C,,,
,,ASMod_stDetCylChMonMsk_C,,,
,,ASMod_stIndVolMonMsk_C,,,
,,ASMod_swtEGRClgEtaAdap_C,,,
,,ASMod_swtEngSpdPT1_C,,,
,,ASMod_swtOffDetCylChMon_C,,,
,,ASMod_swtOffIndVol_C,,,
,,ASMod_swtOffIndVolMon_C,,,
,,ASMod_swtUseSimpleMdlPOutlVlvDs_C,,,
,,ASMod_tEGRDsMin_C,,,
,,ASMod_tEngDaMax_C,,,
,,ASMod_tEngDaMin_C,,,
,,ASMod_tiDlyPresIndVolInit_C,,,
,,ASMod_tiEGRVlvClsdDly_C,,,
,,ASMod_tiEngSpdPT1Dwn_C,,,
,,ASMod_tiEngSpdPT1Up_C,,,
,,ASMod_tiMsFlwIndVolPT1_C,,,
,,ASMod_tInit_C,,,
,,ASMod_tIntMnfDsRef_MAP,,,
,,ASMod_tiPresIntMnfPT1_CUR,,,
,,ASMod_tiRelPosEGRPT1_C,,,
,,ASMod_tiTempEGRDsFwdPT1_C,,,
,,ASMod_tiTempEGRDsPT1_C,,,
,,ASMod_tiThrVlvOpnDly_C,,,
,,ASMod_volEng_C,,,
,,ASMod_volIndVol_C,,,
,,ATS_Standby_Disabled_C,,,
,,ATS_stRCCToolOn_C,,,
,,ATS_tiTstDemHeal_C,,,
,,ATS_tiTstDemMax_C,,,
,,ATS_TmrBehaviour_C,,,
,,ATS_TstDemMaxEngN_C,,,
,,ATS_TstDemMaxVSSCDV_C,,,
,,BattU_numUStbyDiaDeb_C,,,
,,BattU_RmpSlpNeg_C,,,
,,BattU_RmpSlpPos_C,,,
,,BattU_stSensId_C,,,
,,BattU_swtCorFacActv_C,,,
,,BattU_swtRated_C,,,
,,BattU_uNrm_C,,,
,,BattU_uSRCMax_C,,,
,,BattU_uSRCMin_C,,,
,,BattU_uTransDft_C,,,
,,BattU_uTransf_CUR,,,
,,Brk_aJamDetThres_C,,,
,,Brk_MnDeb.tiHiLo_C,,,
,,Brk_MnDeb.tiLoHi_C,,,
,,Brk_RedDeb.tiHiLo_C,,,
,,Brk_RedDeb.tiLoHi_C,,,
,,Brk_stDflVal_C,,,
,,Brk_stNplDflVal_C,,,
,,Brk_stSngSwtDiagEna_C,,,
,,Brk_swtCrCtlRls_C,,,
,,Brk_swtDrvCycl_C,,,
,,Brk_swtJamToutDetEnbl_C,,,
,,Brk_swtNplVehMovChkRpt_C,,,
,,Brk_tiDebJamAcclDet_C,,,
,,Brk_tiJamDet_C,,,
,,Brk_tiPrsdDetLck_C,,,
,,Brk_vCrCtlMinAct_C,,,
,,Brk_vThres_C,,,
,,Brk_vThresRstOfs_C,,,
,,CALIBID,,,
,,Can_ACKTXCanId_C,,,
,,Can_ACKTXCanNod_C,,,
,,Can_ADRCLMGLBTXCanId_C,,,
,,Can_ADRCLMGLBTXCanNod_C,,,
,,Can_AETCTXCanId_C,,,
,,Can_AETCTXCanNod_C,,,
,,Can_AMBCONTXCanId_C,,,
,,Can_AMBCONTXCanNod_C,,,
,,Can_AMBRXCanId_C,,,
,,Can_AMBRXCanNod_C,,,
,,Can_Can_APPL_CANCanBaudrateCfgId_C,,,
,,Can_Can_PT_CANCanBaudrateCfgId_C,,,
,,Can_CanFilterMask_7F8_FACanFilMask_C,,,
,,Can_CanFilterMask_7FA_FACanFilMask_C,,,
,,Can_CanFilterMask_7FE_FACanFilMask_C,,,
,,Can_CanFilterMask_APPL_CANCanFilMask_C,,,
,,Can_CanFilterMask_default_APPLCanFilMask_C,,,
,,Can_CanFilterMask_default_FACanFilMask_C,,,
,,Can_CanFilterMask_defaultCanFilMask_C,,,
,,Can_CanFilterMask_Dienste_NM_FACanFilMask_C,,,
,,Can_CanFilterMask_PT_CANCanFilMask_C,,,
,,Can_CCSSTXCanId_C,,,
,,Can_CCSSTXCanNod_C,,,
,,Can_CIRXACKRXCanId_C,,,
,,Can_CIRXACKRXCanNod_C,,,
,,Can_CITXCanId_C,,,
,,Can_CITXCanNod_C,,,
,,Can_CM1RXCanId_C,,,
,,Can_CM1RXCanNod_C,,,
,,Can_DDRXCanId_C,,,
,,Can_DDRXCanNod_C,,,
,,Can_DEC1RXCanId_C,,,
,,Can_DEC1RXCanNod_C,,,
,,Can_DLCC1TXCanId_C,,,
,,Can_DLCC1TXCanNod_C,,,
,,Can_DM13RXCanId_C,,,
,,Can_DM13RXCanNod_C,,,
,,Can_DM1TXCanId_C,,,
,,Can_DM1TXCanNod_C,,,
,,Can_DM2TXCanId_C,,,
,,Can_DM2TXCanNod_C,,,
,,Can_DM4TXCanId_C,,,
,,Can_DM4TXCanNod_C,,,
,,Can_DM5RxRXCanId_C,,,
,,Can_DM5RxRXCanNod_C,,,
,,Can_DM5TXCanId_C,,,
,,Can_DM5TXCanNod_C,,,
,,Can_DM6TXCanId_C,,,
,,Can_DM6TXCanNod_C,,,
,,Can_DPFC1TXCanId_C,,,
,,Can_DPFC1TXCanNod_C,,,
,,Can_EBC1RXCanId_C,,,
,,Can_EBC1RXCanNod_C,,,
,,Can_EBC2RXCanId_C,,,
,,Can_EBC2RXCanNod_C,,,
,,Can_EC3TXCanId_C,,,
,,Can_EC3TXCanNod_C,,,
,,Can_EEC1TXCanId_C,,,
,,Can_EEC1TXCanNod_C,,,
,,Can_EEC2TXCanId_C,,,
,,Can_EEC2TXCanNod_C,,,
,,Can_EEC3TXCanId_C,,,
,,Can_EEC3TXCanNod_C,,,
,,Can_EEC4TXCanId_C,,,
,,Can_EEC4TXCanNod_C,,,
,,Can_EEC5TXCanId_C,,,
,,Can_EEC5TXCanNod_C,,,
,,Can_EFL_P1TXCanId_C,,,
,,Can_EFL_P1TXCanNod_C,,,
,,Can_ENGCFGTXCanId_C,,,
,,Can_ENGCFGTXCanNod_C,,,
,,Can_ENGTEMPTXCanId_C,,,
,,Can_ENGTEMPTXCanNod_C,,,
,,Can_ETC1RXCanId_C,,,
,,Can_ETC1RXCanNod_C,,,
,,Can_ETC5TXCanId_C,,,
,,Can_ETC5TXCanNod_C,,,
,,Can_FDTXCanId_C,,,
,,Can_FDTXCanNod_C,,,
,,Can_FLECOTXCanId_C,,,
,,Can_FLECOTXCanNod_C,,,
,,Can_HOURSTXCanId_C,,,
,,Can_HOURSTXCanNod_C,,,
,,Can_HRLFCTXCanId_C,,,
,,Can_HRLFCTXCanNod_C,,,
,,Can_HRWSRXCanId_C,,,
,,Can_HRWSRXCanNod_C,,,
,,Can_IDLOPTXCanId_C,,,
,,Can_IDLOPTXCanNod_C,,,
,,Can_LFCTXCanId_C,,,
,,Can_LFCTXCanNod_C,,,
,,Can_MULTIBAMNODEATXCanId_C,,,
,,Can_MULTIBAMNODEATXCanNod_C,,,
,,Can_MULTIBAMNODEBTXCanId_C,,,
,,Can_MULTIBAMNODEBTXCanNod_C,,,
,,Can_MULTIBAMNODECTXCanId_C,,,
,,Can_MULTIBAMNODECTXCanNod_C,,,
,,Can_MULTIBAMNODEDTXCanId_C,,,
,,Can_MULTIBAMNODEDTXCanNod_C,,,
,,Can_MULTIPACKNODEATXCanId_C,,,
,,Can_MULTIPACKNODEATXCanNod_C,,,
,,Can_MULTIPACKNODEBTXCanId_C,,,
,,Can_MULTIPACKNODEBTXCanNod_C,,,
,,Can_MULTIPACKNODECTXCanId_C,,,
,,Can_MULTIPACKNODECTXCanNod_C,,,
,,Can_MULTIPACKNODEDTXCanId_C,,,
,,Can_MULTIPACKNODEDTXCanNod_C,,,
,,Can_OBD_ON_CAN_Rx_0x7DFCanId_C,,,
,,Can_OBD_ON_CAN_Rx_0x7DFCanNod_C,,,
,,Can_OBD_ON_CAN_Rx_0x7E0CanId_C,,,
,,Can_OBD_ON_CAN_Rx_0x7E0CanNod_C,,,
,,Can_OBD_ON_CAN_Tx_0x7E8CanId_C,,,
,,Can_OBD_ON_CAN_Tx_0x7E8CanNod_C,,,
,,Can_OHCSSTXCanId_C,,,
,,Can_OHCSSTXCanNod_C,,,
,,Can_PGNRQRXCanId_C,,,
,,Can_PGNRQRXCanNod_C,,,
,,Can_PTOTXCanId_C,,,
,,Can_PTOTXCanNod_C,,,
,,Can_RXCCVSRXCanId_C,,,
,,Can_RXCCVSRXCanNod_C,,,
,,Can_RXSRC1BAMRXCanId_C,,,
,,Can_RXSRC1BAMRXCanNod_C,,,
,,Can_RXSRC1PACKRXCanId_C,,,
,,Can_RXSRC1PACKRXCanNod_C,,,
,,Can_RXSRC2BAMRXCanId_C,,,
,,Can_RXSRC2BAMRXCanNod_C,,,
,,Can_RXSRC2PACKRXCanId_C,,,
,,Can_RXSRC2PACKRXCanNod_C,,,
,,Can_RXSRC3BAMRXCanId_C,,,
,,Can_RXSRC3BAMRXCanNod_C,,,
,,Can_RXSRC3PACKRXCanId_C,,,
,,Can_RXSRC3PACKRXCanNod_C,,,
,,Can_RXSRC4BAMRXCanId_C,,,
,,Can_RXSRC4BAMRXCanNod_C,,,
,,Can_RXSRC4PACKRXCanId_C,,,
,,Can_RXSRC4PACKRXCanNod_C,,,
,,Can_RXSRC5BAMRXCanId_C,,,
,,Can_RXSRC5BAMRXCanNod_C,,,
,,Can_RXSRC5PACKRXCanId_C,,,
,,Can_RXSRC5PACKRXCanNod_C,,,
,,Can_SHUTDNTXCanId_C,,,
,,Can_SHUTDNTXCanNod_C,,,
,,Can_SOFTTXCanId_C,,,
,,Can_SOFTTXCanNod_C,,,
,,Can_STODTXCanId_C,,,
,,Can_STODTXCanNod_C,,,
,,Can_T1_RXCanId_C,,,
,,Can_T1_RXCanNod_C,,,
,,Can_T1_TXCanId_C,,,
,,Can_T1_TXCanNod_C,,,
,,Can_TCO1RXCanId_C,,,
,,Can_TCO1RXCanNod_C,,,
,,Can_TIMEDATERXCanId_C,,,
,,Can_TIMEDATERXCanNod_C,,,
,,Can_TSC1ACCERXCanId_C,,,
,,Can_TSC1ACCERXCanNod_C,,,
,,Can_TSC1ACCRRXCanId_C,,,
,,Can_TSC1ACCRRXCanNod_C,,,
,,Can_TSC1AERXCanId_C,,,
,,Can_TSC1AERXCanNod_C,,,
,,Can_TSC1ARRXCanId_C,,,
,,Can_TSC1ARRXCanNod_C,,,
,,Can_TSC1DERXCanId_C,,,
,,Can_TSC1DERXCanNod_C,,,
,,Can_TSC1DRRXCanId_C,,,
,,Can_TSC1DRRXCanNod_C,,,
,,Can_TSC1PERXCanId_C,,,
,,Can_TSC1PERXCanNod_C,,,
,,Can_TSC1TERXCanId_C,,,
,,Can_TSC1TERXCanNod_C,,,
,,Can_TSC1TRRXCanId_C,,,
,,Can_TSC1TRRXCanNod_C,,,
,,Can_TSC1VERXCanId_C,,,
,,Can_TSC1VERXCanNod_C,,,
,,Can_TSC1VRRXCanId_C,,,
,,Can_TSC1VRRXCanNod_C,,,
,,Can_TXCCVSTXCanId_C,,,
,,Can_TXCCVSTXCanNod_C,,,
,,Can_TxDM11TXCanId_C,,,
,,Can_TxDM11TXCanNod_C,,,
,,Can_TxDM3TXCanId_C,,,
,,Can_TxDM3TXCanNod_C,,,
,,Can_TXPGNRQGLBTXCanId_C,,,
,,Can_TXPGNRQGLBTXCanNod_C,,,
,,Can_TXPGNRQTXCanId_C,,,
,,Can_TXPGNRQTXCanNod_C,,,
,,Can_TXTC1TXCanId_C,,,
,,Can_TXTC1TXCanNod_C,,,
,,Can_UDS_ON_CAN_RDPI_Tx_0x7E8CanId_C,,,
,,Can_UDS_ON_CAN_Rx_0x441_APPLCanId_C,,,
,,Can_UDS_ON_CAN_Rx_0x441_APPLCanNod_C,,,
,,Can_UDS_ON_CAN_Rx_0x441CanId_C,,,
,,Can_UDS_ON_CAN_Rx_0x441CanNod_C,,,
,,Can_UDS_ON_CAN_Rx_0x6F1CanId_C,,,
,,Can_UDS_ON_CAN_Rx_0x6F1CanNod_C,,,
,,Can_UDS_ON_CAN_Rx_0x6F4CanId_C,,,
,,Can_UDS_ON_CAN_Rx_0x6F4CanNod_C,,,
,,Can_UDS_ON_CAN_Rx_0x7E0_APPLCanId_C,,,
,,Can_UDS_ON_CAN_Rx_0x7E0_APPLCanNod_C,,,
,,Can_UDS_ON_CAN_Tx_0x612_ExtdAdr_0xF1CanId_C,,,
,,Can_UDS_ON_CAN_Tx_0x612_ExtdAdr_0xF4CanId_C,,,
,,Can_UDS_ON_CAN_Tx_0x612CanNod_C,,,
,,Can_UDS_ON_CAN_Tx_0x7E8_APPLCanId_C,,,
,,Can_UDS_ON_CAN_Tx_0x7E8_APPLCanNod_C,,,
,,Can_UDS_ON_CAN_Tx_0x7E8CanId_C,,,
,,Can_VDTXCanId_C,,,
,,Can_VDTXCanNod_C,,,
,,Can_VEP1TXCanId_C,,,
,,Can_VEP1TXCanNod_C,,,
,,Can_VHTXCanId_C,,,
,,Can_VHTXCanNod_C,,,
,,Can_VITXCanId_C,,,
,,Can_VITXCanNod_C,,,
,,Can_WFITXCanId_C,,,
,,Can_WFITXCanNod_C,,,
,,Can_XcpRx_Cmd_APPLCanId_C,,,
,,Can_XcpRx_Cmd_APPLCanNod_C,,,
,,Can_XcpRx_Cmd_PTCanId_C,,,
,,Can_XcpRx_Cmd_PTCanNod_C,,,
,,Can_XcpTx_Var_APPLCanId_C,,,
,,Can_XcpTx_Var_APPLCanNod_C,,,
,,Can_XcpTx_Var_PTCanId_C,,,
,,Can_XcpTx_Var_PTCanNod_C,,,
,,CanIf_ACKTXDlc_C,,,
,,CanIf_ADRCLMGLBTXDlc_C,,,
,,CanIf_AETCTXDlc_C,,,
,,CanIf_AMBCONTXDlc_C,,,
,,CanIf_AMBRXDlc_C,,,
,,CanIf_CCSSTXDlc_C,,,
,,CanIf_CIRXACKRXDlc_C,,,
,,CanIf_CITXDlc_C,,,
,,CanIf_CM1RXDlc_C,,,
,,CanIf_DDRXDlc_C,,,
,,CanIf_DEC1RXDlc_C,,,
,,CanIf_DLCC1TXDlc_C,,,
,,CanIf_DM13RXDlc_C,,,
,,CanIf_DM1TXDlc_C,,,
,,CanIf_DM2TXDlc_C,,,
,,CanIf_DM4TXDlc_C,,,
,,CanIf_DM5RxRXDlc_C,,,
,,CanIf_DM5TXDlc_C,,,
,,CanIf_DM6TXDlc_C,,,
,,CanIf_DPFC1TXDlc_C,,,
,,CanIf_EBC1RXDlc_C,,,
,,CanIf_EBC2RXDlc_C,,,
,,CanIf_EC3TXDlc_C,,,
,,CanIf_EEC1TXDlc_C,,,
,,CanIf_EEC2TXDlc_C,,,
,,CanIf_EEC3TXDlc_C,,,
,,CanIf_EEC4TXDlc_C,,,
,,CanIf_EEC5TXDlc_C,,,
,,CanIf_EFL_P1TXDlc_C,,,
,,CanIf_ENGCFGTXDlc_C,,,
,,CanIf_ENGTEMPTXDlc_C,,,
,,CanIf_ETC1RXDlc_C,,,
,,CanIf_ETC5TXDlc_C,,,
,,CanIf_FDTXDlc_C,,,
,,CanIf_FLECOTXDlc_C,,,
,,CanIf_HOURSTXDlc_C,,,
,,CanIf_HRLFCTXDlc_C,,,
,,CanIf_HRWSRXDlc_C,,,
,,CanIf_IDLOPTXDlc_C,,,
,,CanIf_LFCTXDlc_C,,,
,,CanIf_MULTIBAMNODEATXDlc_C,,,
,,CanIf_MULTIBAMNODEBTXDlc_C,,,
,,CanIf_MULTIBAMNODECTXDlc_C,,,
,,CanIf_MULTIBAMNODEDTXDlc_C,,,
,,CanIf_MULTIPACKNODEATXDlc_C,,,
,,CanIf_MULTIPACKNODEBTXDlc_C,,,
,,CanIf_MULTIPACKNODECTXDlc_C,,,
,,CanIf_MULTIPACKNODEDTXDlc_C,,,
,,CanIf_OBD_ON_CAN_Rx_0x7DFDlc_C,,,
,,CanIf_OBD_ON_CAN_Rx_0x7E0Dlc_C,,,
,,CanIf_OBD_ON_CAN_Tx_0x7E8Dlc_C,,,
,,CanIf_OHCSSTXDlc_C,,,
,,CanIf_PGNRQRXDlc_C,,,
,,CanIf_PTOTXDlc_C,,,
,,CanIf_RXCCVSRXDlc_C,,,
,,CanIf_RXSRC1BAMRXDlc_C,,,
,,CanIf_RXSRC1PACKRXDlc_C,,,
,,CanIf_RXSRC2BAMRXDlc_C,,,
,,CanIf_RXSRC2PACKRXDlc_C,,,
,,CanIf_RXSRC3BAMRXDlc_C,,,
,,CanIf_RXSRC3PACKRXDlc_C,,,
,,CanIf_RXSRC4BAMRXDlc_C,,,
,,CanIf_RXSRC4PACKRXDlc_C,,,
,,CanIf_RXSRC5BAMRXDlc_C,,,
,,CanIf_RXSRC5PACKRXDlc_C,,,
,,CanIf_SHUTDNTXDlc_C,,,
,,CanIf_SOFTTXDlc_C,,,
,,CanIf_STODTXDlc_C,,,
,,CanIf_T1_RXDlc_C,,,
,,CanIf_T1_TXDlc_C,,,
,,CanIf_TCO1RXDlc_C,,,
,,CanIf_TIMEDATERXDlc_C,,,
,,CanIf_TSC1ACCERXDlc_C,,,
,,CanIf_TSC1ACCRRXDlc_C,,,
,,CanIf_TSC1AERXDlc_C,,,
,,CanIf_TSC1ARRXDlc_C,,,
,,CanIf_TSC1DERXDlc_C,,,
,,CanIf_TSC1DRRXDlc_C,,,
,,CanIf_TSC1PERXDlc_C,,,
,,CanIf_TSC1TERXDlc_C,,,
,,CanIf_TSC1TRRXDlc_C,,,
,,CanIf_TSC1VERXDlc_C,,,
,,CanIf_TSC1VRRXDlc_C,,,
,,CanIf_TXCCVSTXDlc_C,,,
,,CanIf_TxDM11TXDlc_C,,,
,,CanIf_TxDM3TXDlc_C,,,
,,CanIf_TXPGNRQGLBTXDlc_C,,,
,,CanIf_TXPGNRQTXDlc_C,,,
,,CanIf_TXTC1TXDlc_C,,,
,,CanIf_UDS_ON_CAN_RDPI_Tx_0x7E8Dlc_C,,,
,,CanIf_UDS_ON_CAN_Rx_0x441_APPLDlc_C,,,
,,CanIf_UDS_ON_CAN_Rx_0x441Dlc_C,,,
,,CanIf_UDS_ON_CAN_Rx_0x6F1Dlc_C,,,
,,CanIf_UDS_ON_CAN_Rx_0x6F4Dlc_C,,,
,,CanIf_UDS_ON_CAN_Rx_0x7E0_APPLDlc_C,,,
,,CanIf_UDS_ON_CAN_Tx_0x612_ExtdAdr_0xF1Dlc_C,,,
,,CanIf_UDS_ON_CAN_Tx_0x612_ExtdAdr_0xF4Dlc_C,,,
,,CanIf_UDS_ON_CAN_Tx_0x7E8_APPLDlc_C,,,
,,CanIf_UDS_ON_CAN_Tx_0x7E8Dlc_C,,,
,,CanIf_VDTXDlc_C,,,
,,CanIf_VEP1TXDlc_C,,,
,,CanIf_VHTXDlc_C,,,
,,CanIf_VITXDlc_C,,,
,,CanIf_WFITXDlc_C,,,
,,CanIf_XcpRx_Cmd_APPLDlc_C,,,
,,CanIf_XcpRx_Cmd_PTDlc_C,,,
,,CanIf_XcpTx_Var_APPLDlc_C,,,
,,CanIf_XcpTx_Var_PTDlc_C,,,
,,CEngDsT_idxAirTemp_C,,,
,,CEngDsT_idxEngTemp_C,,,
,,CEngDsT_idxTempThres_C,,,
,,CEngDsT_nThdPRCEna_C,,,
,,CEngDsT_ParDT1.Kd_C,,,
,,CEngDsT_ParDT1.T1_C,,,
,,CEngDsT_PhysRng.Max_C,,,
,,CEngDsT_PhysRng.Min_C,,,
,,CEngDsT_Rmp1.Neg_C,,,
,,CEngDsT_Rmp1.Pos_C,,,
,,CEngDsT_Rmp2.Neg_C,,,
,,CEngDsT_Rmp2.Pos_C,,,
,,CEngDsT_SRC.uMax_C,,,
,,CEngDsT_SRC.uMin_C,,,
,,CEngDsT_stSensID_C,,,
,,CEngDsT_swtSensPres_C,,,
,,CEngDsT_swtSig_C,,,
,,CEngDsT_tDflCold_C,,,
,,CEngDsT_tDflWarm_C,,,
,,CEngDsT_tiParPT1_C,,,
,,CEngDsT_tiSerPT1_C,,,
,,CEngDsT_tOverTDetn1_C,,,
,,CEngDsT_tOverTDetn2_C,,,
,,CEngDsT_tOverTDetn3_C,,,
,,CEngDsT_tTransf_CUR,,,
,,Clth_Deb.tiHiLo_C,,,
,,Clth_Deb.tiLoHi_C,,,
,,Clth_nNoGearShftDet_C,,,
,,Clth_stDflVal_C,,,
,,Clth_stOpn_C,,,
,,Clth_stSlip_C,,,
,,Clth_stSlipClsd_C,,,
,,Clth_stSlipOpn_C,,,
,,Clth_swtSig_C,,,
,,Clth_swtT15OnDet_C,,,
,,Clth_tiGearShft_C,,,
,,Clth_tiInitDly_C,,,
,,Clth_vNoGearShftDet_C,,,
,,CnvLead_facRmpVal_CUR,,,
,,CnvSet_eta0_C,,,
,,CnvSet_etaIni_C,,,
,,CnvSet_facRmpVal_CUR,,,
,,CoEng_bEnaStrt2AutoStop_C,,,
,,CoEng_nCutHyst_C,,,
,,CoEng_nEngFrznDeltaHi_C,,,
,,CoEng_nEngFrznDeltaLo_C,,,
,,CoEng_nEngHiNTEMonArea_C,,,
,,CoEng_nEngLoNTEMonArea_C,,,
,,CoEng_nEngStrtCdnMin_C,,,
,,CoEng_nSoftShOffMax_C,,,
,,CoEng_nSoftShOffMin_C,,,
,,CoEng_qSoftShOffMax_C,,,
,,CoEng_ratShOffDmdEgrVlv_CUR,,,
,,CoEng_ratShOffDmdThrVlv_CUR,,,
,,CoEng_ratStandgDmdEgrVlv_CUR,,,
,,CoEng_ratStandgDmdThrVlv_CUR,,,
,,CoEng_ratThrVlvTiDly_C,,,
,,CoEng_ShOffCtl_PostDrive.n_CUR,,,
,,CoEng_ShOffCtl_PostDrive.ti_CUR,,,
,,CoEng_stMonHPSys_C,,,
,,CoEng_stRstrtTran_C,,,
,,CoEng_stShutOffInit_C,,,
,,CoEng_stStandbyShOff_C,,,
,,CoEng_stStopEna_C,,,
,,CoEng_stStrtEna_C,,,
,,CoEng_swtWNTEMonArea_C,,,
,,CoEng_tiDlyAftStopOrd_M,,,
,,CoEng_tiPwrStgDiaRdy_C,,,
,,CoEng_tiScneEngStrtStM.CoEng_tiScneEngStrtWait_C,,,
,,CoEng_trqAcsMin_C,,,
,,CoEng_tSoftShOffMin_C,,,
,,CoEng_vSoftShOffMax_C,,,
,,CoEOM_idxToRamp_M,,,
,,CoEOM_nrAsgnPrio0_MAP,,,
,,CoEOM_nrAsgnPrio2_CUR,,,
,,CoEOM_opModeToIdx_M,,,
,,CoEOM_stDSCHEDPrio_C,,,
,,CoEOM_stNxtOpMode_MAP,,,
,,CoEOM_stNxtStage_MAP,,,
,,CoEOM_stOpMode_C,,,
,,CoEOM_stOpModeDes_C,,,
,,CoEOM_stOpModeDL_MAP,,,
,,CoEOM_stOpModeEngStrt_C,,,
,,CoEOM_stOpModeMax_C,,,
,,CoEOM_stStrtOpModeInhb_C,,,
,,CoEOM_tiRampMax_C,,,
,,CoEOM_tiRampMin_C,,,
,,CoETM_facAftRun2_C,,,
,,CoETM_facClgAftRun_CUR,,,
,,CoETM_facClgAftRunTEnv_CUR,,,
,,CoETM_rClgAftRun_MAP,,,
,,CoETM_rClgDemFan_CUR,,,
,,CoETM_rClgDemMax_C,,,
,,CoETM_rClgDemMin_C,,,
,,CoETM_rClgIntegMax_C,,,
,,CoETM_rClgIntegMin_C,,,
,,CoETM_rClgKi_CUR,,,
,,CoETM_rClgKp_CUR,,,
,,CoETM_swtSrc_C,,,
,,CoETM_tAftRunAbrt_C,,,
,,CoETM_tClntEngOutStg1Max_C,,,
,,CoETM_tClntEngOutStg1Min_C,,,
,,CoETM_tClntEngOutStg2Max_C,,,
,,CoETM_tClntEngOutStg2Min_C,,,
,,CoETM_tDvtMax_C,,,
